id_municipality;name_municipality;id_department
25899;ZIPAQUIRA;25
25758;SOPO;25
25099;BOJACA;25
25151;CAQUEZA;25
25290;FUSAGASUGA;25
25754;SOACHA;25
25183;CHOCONTA;25
25307;GIRARDOT;25
25473;MOSQUERA;25
25175;CHIA;25
25269;FACATATIVA;25
25843;UBATE;25
25875;VILLETA;25
25126;CAJICA;25
25513;PACHO;25
25817;TOCANCIPA;25
25286;FUNZA;25
25214;COTA;25
25486;NEMOCON;25
25260;EL ROSAL;25
25181;CHOACHI;25
25862;VERGARA;25
25001;AGUA DE DIOS;25
25402;LA VEGA;25
25772;SUESCA;25
25386;LA MESA;25
25793;TAUSA;25
25740;SIBATE;25
25320;GUADUAS;25
25430;MADRID;25
25745;SIMIJACA;25
25718;SASAIMA;25
25295;GACHANCIPA;25
25339;GUTIERREZ;25
25839;UBALA;25
25200;COGUA;25
25053;ARBELAEZ;25
25799;TENJO;25
25785;TABIO;25
25594;QUETAME;25
25322;GUASCA;25
25592;QUEBRADANEGRA;25
25769;SUBACHOQUE;25
25878;VIOTA;25
25148;CAPARRAPI;25
25168;CHAGUANI;25
25658;SAN FRANCISCO;25
25841;UBAQUE;25
25317;GUACHETA;25
25123;CACHIPAY;25
25281;FOSCA;25
25805;TIBACUY;25
25035;ANAPOIMA;25
25572;PUERTO SALGAR;25
25777;SUPATA;25
25645;SAN ANTONIO DE TEQUENDAMA;25
25483;NARIÑO;25
25279;FOMEQUE;25
25488;NILO;25
25823;TOPAIPI;25
25491;NOCAIMA;25
25599;RAFAEL REYES (APULO);25
25377;LA CALERA;25
25885;YACOPI;25
25326;GUATAVITA;25
25815;TOCAIMA;25
25288;FUQUENE;25
25518;PAIME;25
25653;SAN CAYETANO;25
25120;CABRERA;25
25324;GUATAQUI;25
25781;SUTATAUSA;25
25612;RICAURTE;25
25407;LENGUAZAQUE;25
25328;GUAYABAL DE SIQUIMA;25
25779;SUSA;25
25293;GACHALA;25
25662;SAN JUAN DE RIO SECO;25
25736;SESQUILE;25
25297;GACHETA;25
25845;UNE;25
25154;CARMEN DE CARUPA;25
25873;VILLAPINZON;25
25394;LA PALMA;25
25489;NIMAIMA;25
25898;ZIPACON;25
25335;GUAYABETAL;25
25398;LA PEÑA;25
25438;MEDINA;25
25245;EL COLEGIO;25
25178;CHIPAQUE;25
25299;GAMA;25
25743;SILVANIA;25
25535;PASCA;25
25312;GRANADA;25
25506;OSPINA PEREZ (VENECIA);25
25040;ANOLAIMA;25
25224;CUCUNUBA;25
25426;MACHETA;25
25596;QUIPILE;25
25372;JUNIN;25
25797;TENA;25
25851;UTICA;25
25649;SAN BERNARDO;25
25436;MANTA;25
25019;ALBAN;25
25867;VIANI;25
25258;EL PEÑON;25
25086;BELTRAN;25
25530;PARATEBUENO;25
25807;TIBIRITA;25
25095;BITUIMA;25
25524;PANDI;25
15001;TUNJA;15
15814;TOCA;15
15676;SAN MIGUEL DE SEMA;15
15759;SOGAMOSO;15
15572;PUERTO BOYACA;15
15238;DUITAMA;15
15299;GARAGOA;15
15757;SOCHA;15
15693;SANTA ROSA DE VITERBO;15
15407;VILLA DE LEYVA;15
15176;CHIQUINQUIRA;15
15516;PAIPA;15
15051;ARCABUCO;15
15204;COMBITA;15
15646;SAMACA;15
15466;MONGUI;15
15296;GAMEZA;15
15455;MIRAFLORES;15
15469;MONIQUIRA;15
15879;VIRACACHA;15
15753;SOATA;15
15480;MUZO;15
15638;SACHICA;15
15226;CUITIVA;15
15763;SOTAQUIRA;15
15218;COVARACHIA;15
15092;BETEITIVA;15
15087;BELEN;15
15047;AQUITANIA;15
15511;PACHAVITA;15
15580;QUIPAMA;15
15599;RAMIRIQUI;15
15776;SUTAMARCHAN;15
15681;SAN PABLO DE BORBUR;15
15322;GUATEQUE;15
15690;SANTA MARIA;15
15673;SAN MATEO;15
15686;SANTANA;15
15183;CHITA;15
15362;IZA;15
15837;TUTA;15
15491;NOBSA;15
15507;OTANCHE;15
15522;PANQUEBA;15
15293;GACHANTIVA;15
15531;PAUNA;15
15403;LA UVITA;15
15806;TIBASOSA;15
15810;TIPACOQUE;15
15755;SOCOTA;15
15861;VENTAQUEMADA;15
15377;LABRANZAGRANDE;15
15131;CALDAS;15
